time,y_reported,y_clean,alpha_hat,u_out
                5260,     699542,     699542,          0,    1572864
                5270,     701198,     701198,          0,    1572864
                5280,     702854,     702854,          0,    1572864
                5290,     704509,     704509,          0,    1572864
                5300,     706164,     706164,          0,    1572864
                5310,     707819,     707819,          0,    1572864
                5320,     709474,     709474,          0,    1572864
                5330,     711129,     711129,          0,    1572864
                5340,     712783,     712783,          0,    1572864
                5350,     714437,     714437,          0,    1572864
                5360,     716091,     716091,          0,    1572864
                5370,     717745,     717745,          0,    1572864
                5380,     719398,     719398,          0,    1572864
                5390,     721051,     721051,          0,    1572864
                5400,     722704,     722704,          0,    1572864
                5410,     724357,     724357,          0,    1572864
                5420,     726010,     726010,          0,    1572864
                5430,     727662,     727662,          0,    1572864
                5440,     729314,     729314,          0,    1572864
                5450,     730966,     730966,          0,    1572864
                5460,     732618,     732618,          0,    1572864
                5470,     734269,     734269,          0,    1572864
                5480,     735920,     735920,          0,    1572864
                5490,     737571,     737571,          0,    1572864
                5500,     739222,     739222,          0,    1572864
                5510,     740873,     740873,          0,    1572864
                5520,     742523,     742523,          0,    1572864
                5530,     744173,     744173,          0,    1572864
                5540,     745823,     745823,          0,    1572864
                5550,     747473,     747473,          0,    1572864
                5560,     749122,     749122,          0,    1572864
                5570,     750771,     750771,          0,    1572864
                5580,     752420,     752420,          0,    1572864
                5590,     754069,     754069,          0,    1572864
                5600,     755718,     755718,          0,    1572864
                5610,     757366,     757366,          0,    1572864
                5620,     759014,     759014,          0,    1572864
                5630,     760662,     760662,          0,    1572864
                5640,     762310,     762310,          0,    1572864
                5650,     763957,     763957,          0,    1572864
                5660,     765604,     765604,          0,    1572864
                5670,     767251,     767251,          0,    1572864
                5680,     768898,     768898,          0,    1572864
                5690,     770545,     770545,          0,    1572864
                5700,     772191,     772191,          0,    1572864
                5710,     773837,     773837,          0,    1572864
                5720,     775483,     775483,          0,    1572864
                5730,     777129,     777129,          0,    1572864
                5740,     778774,     778774,          0,    1572864
                5750,     780419,     780419,          0,    1572864
